origen,destino,costo,FECHA HORA salida,Fecha hora llegada
YAM,YYZ,524,01/10/2016 11:04:00,02/10/2016 01:28:00
YAM,YYZ,681,02/10/2016 00:32:00,02/10/2016 05:20:00
YAM,YYZ,595,02/10/2016 07:18:00,03/10/2016 00:06:00
YAM,YYZ,589,03/10/2016 01:12:00,03/10/2016 15:36:00
YAM,YYZ,807,03/10/2016 07:36:00,03/10/2016 17:12:00
YAM,YYZ,316,03/10/2016 10:12:00,03/10/2016 15:00:00
YAM,YYZ,785,03/10/2016 12:26:00,04/10/2016 07:38:00
YAM,YYZ,413,03/10/2016 15:20:00,03/10/2016 20:08:00
YAM,YYZ,463,03/10/2016 19:22:00,04/10/2016 02:34:00
YAM,YYZ,286,04/10/2016 18:41:00,04/10/2016 21:05:00
YAY,YYR,373,01/10/2016 03:40:00,01/10/2016 18:04:00
YAY,YYR,989,01/10/2016 11:40:00,01/10/2016 21:16:00
YAY,YYR,989,01/10/2016 13:06:00,01/10/2016 20:18:00
YAY,YYR,972,01/10/2016 21:28:00,02/10/2016 07:04:00
YAY,YYR,410,01/10/2016 23:28:00,02/10/2016 13:52:00
YAY,YYR,298,02/10/2016 02:41:00,02/10/2016 12:17:00
YAY,YYR,603,02/10/2016 03:22:00,02/10/2016 20:10:00
YAY,YYR,625,02/10/2016 10:00:00,03/10/2016 00:24:00
YAY,YYR,545,02/10/2016 18:58:00,03/10/2016 04:34:00
YAY,YYR,421,04/10/2016 09:58:00,04/10/2016 12:22:00
YAY,YYR,553,04/10/2016 10:38:00,04/10/2016 17:50:00
YAY,YYT,631,01/10/2016 05:33:00,01/10/2016 07:57:00
YAY,YYT,792,01/10/2016 15:07:00,02/10/2016 10:19:00
YAY,YYT,813,01/10/2016 16:11:00,02/10/2016 06:35:00
YAY,YYT,646,01/10/2016 19:42:00,02/10/2016 14:54:00
YAY,YYT,778,01/10/2016 23:02:00,02/10/2016 06:14:00
YAY,YYT,694,02/10/2016 14:30:00,02/10/2016 21:42:00
YAY,YYT,725,02/10/2016 19:23:00,03/10/2016 12:11:00
YAY,YYT,762,02/10/2016 21:09:00,02/10/2016 23:33:00
YAY,YYT,599,02/10/2016 23:20:00,03/10/2016 04:08:00
YAY,YYT,145,04/10/2016 02:44:00,04/10/2016 12:20:00
YAY,YYT,950,04/10/2016 16:09:00,05/10/2016 11:21:00
YBC,YQB,490,01/10/2016 02:11:00,01/10/2016 21:23:00
YBC,YQB,836,01/10/2016 05:44:00,01/10/2016 08:08:00
YBC,YQB,923,01/10/2016 10:56:00,02/10/2016 03:44:00
YBC,YQB,844,01/10/2016 11:06:00,01/10/2016 18:18:00
YBC,YQB,749,01/10/2016 11:34:00,01/10/2016 21:10:00
YBC,YQB,343,01/10/2016 14:46:00,01/10/2016 21:58:00
YBC,YQB,944,01/10/2016 18:54:00,01/10/2016 21:18:00
YBC,YQB,797,01/10/2016 20:36:00,02/10/2016 08:36:00
YBC,YQB,328,02/10/2016 01:46:00,02/10/2016 13:46:00
YBC,YQB,951,02/10/2016 07:51:00,02/10/2016 15:03:00
YBC,YQB,753,03/10/2016 02:26:00,03/10/2016 12:02:00
YBC,YQB,292,03/10/2016 08:55:00,03/10/2016 20:55:00
YBC,YQB,574,03/10/2016 17:08:00,04/10/2016 02:44:00
YBC,YQB,913,03/10/2016 18:01:00,04/10/2016 01:13:00
YBC,YQB,368,03/10/2016 18:43:00,03/10/2016 23:31:00
YBC,YQB,639,03/10/2016 20:09:00,04/10/2016 00:57:00
YBC,YQB,565,04/10/2016 00:58:00,04/10/2016 05:46:00
YBC,YQB,831,04/10/2016 03:26:00,04/10/2016 08:14:00
YBC,YQB,865,04/10/2016 05:00:00,05/10/2016 00:12:00
YBC,YQB,230,04/10/2016 11:30:00,04/10/2016 13:54:00
YBC,YQB,446,04/10/2016 16:46:00,05/10/2016 02:22:00
YBC,YQB,406,04/10/2016 17:57:00,05/10/2016 10:45:00
YBC,YUL,273,01/10/2016 00:32:00,01/10/2016 12:32:00
YBC,YUL,478,01/10/2016 12:15:00,01/10/2016 21:51:00
YBC,YUL,398,01/10/2016 13:34:00,02/10/2016 08:46:00
YBC,YUL,193,01/10/2016 21:29:00,02/10/2016 11:53:00
YBC,YUL,970,01/10/2016 22:26:00,02/10/2016 05:38:00
YBC,YUL,593,02/10/2016 00:01:00,02/10/2016 04:49:00
YBC,YUL,404,02/10/2016 16:53:00,03/10/2016 12:05:00
YBC,YUL,438,02/10/2016 17:25:00,03/10/2016 10:13:00
YBC,YUL,950,03/10/2016 16:29:00,04/10/2016 02:05:00
YBC,YUL,443,03/10/2016 23:58:00,04/10/2016 07:10:00
YBC,YUL,796,04/10/2016 18:57:00,05/10/2016 06:57:00
